name,address,type,product
(주)서광이엔지,경상남도 함안군 칠원읍 용정리 854-25번지 외 2필지,금속 절삭기계 제조업,공작기계부품
(주)서린,경상남도 함안군 법수면 강주리 1076-1번지 외 16필지 외 16필지,선박 구성 부분품 제조업,선박부품
(주)석전,경상남도 함안군 칠원읍 경남대로 1676 (총 8 필지) 외 7필지,그 외 기타 콘크리트 제품 및 유사제품 제조업 외 1 종,보도블럭
(주)선경금속,경상남도 함안군 칠북면 가연리 795번지 외 5필지,육상 금속 골조 구조재 제조업 외 1 종,철구조물
(주)선웅,경상남도 함안군 군북면 석교천길 270-5 외 5필지,육상 금속 골조 구조재 제조업,"철구조물, 건물골조, 가설교량제"
(주)성광테크,경상남도 함안군 군북면 효자골길 26 외 2필지,핵반응기 및 증기보일러 제조업,"열교환기, 밸브, 샤프트, 체인 기어"
(주)성보플랜트,경상남도 함안군 법수면 장백로 502 ((주)제이엔씨) 외 3필지,선박 구성 부분품 제조업 외 4 종,배관및선박기자재
(주)성신알에스티,경상남도 함안군 칠원읍 구성리 214번지 외 4필지,기관차 및 기타 철도차량 제조업 외 1 종,철도차량
(주)성신알에스티 제2공장,경상남도 함안군 칠원읍 구성리 213번지 외 6필지,기관차 및 기타 철도차량 제조업 외 1 종,철도차량 및 관련장비
(주)성우이엔드티,경상남도 함안군 군북면 장백로 399 (주식회사고성다인레이저) (총 5 필지) 외 4필지,금속탱크 및 저장용기 제조업 외 1 종,크레인제작
(주)성일에스아이엠,경상남도 함안군 군북면 유현리 1023-1번지 외1필지,도장 및 기타 피막처리업 외 2 종,고주파 벤딩
(주)성일에스아이엠 함안1공장,경상남도 함안군 군북면 유전1길 110 외 9필지,금속탱크 및 저장용기 제조업 외 6 종,"파이프,금속탱크, 철구조물"
(주)성일에스아이엠 함안3공장,경상남도 함안군 법수면 국우로 19 외 8필지,선박 구성 부분품 제조업,선박부품 및 관련기자재
(주)성일에스아이엠 함안4공장,경상남도 함안군 군북면 삼봉로 29 외 3필지,운송장비 조립용 플라스틱제품 제조업 외 1 종,"FRP,PIPE,SPOOL,LINE(선박사용제품)"
(주)성진,"경상남도 함안군 법수면 국우로 215 ((주)성진,(주)SJ하이) (총 7 필지) 외 6필지",선박 구성 부분품 제조업 외 3 종,"선박부품,철구조물"
(주)세강메카텍,경상남도 함안군 법수면 장백로 623-26 외 1필지,육상 금속 골조 구조재 제조업 외 1 종,"조선기자재, WINCH"
(주)세대에너텍,경상남도 함안군 법수면 법정로 65 ((주)세대에너텍) (총 13 필지) 외 12필지,육상 금속 골조 구조재 제조업 외 1 종,철구조물
(주)세라텍,경상남도 함안군 칠원읍 갈티길 93 외 7필지,계면활성제 제조업 외 1 종,세척제
