회사명,신고기준년도,폐기물 종류,운반자,처리업소명,처리방법,공장대표주소,,업종명,생산품
지노산업,2015,그 밖의 광재류 ,천광산업,천광산업,재활용(원료 제조),경상북도 칠곡군 약목면 경호천동길 62-9,,,
구성산업,2015,폐합성수지류,(주)홍익이엔아이,(주)홍익이엔아이,재활용(파쇄.분쇄),경상북도 칠곡군 가산면 학하9길 18,,,
대창자동차해체재활용산업,2015,자동차회수폐냉매물질,(주)오운알투텍,(주)오운알투텍,재활용(원료 제조),경상북도 칠곡군 왜관읍 삼청6길 38-32,,,
삼보프라텍(주),2015,폐합성수지류(폐염화비닐수지류는 제외한다),라이프환경,네이처이앤티(주),중간처분(고온소각),경상북도 칠곡군 약목면 칠곡대로 1074,,,
삼보프라텍(주),2015,폐합성수지류(폐염화비닐수지류는 제외한다),(주)라이프환경,네이처이앤티(주),중간처분(고온소각),경상북도 칠곡군 약목면 칠곡대로 1074,,,
삼보프라텍(주),2015,폐합성수지류(폐염화비닐수지류는 제외한다),(주)라이프환경,(주)새한산업개발,재활용(중간가공폐기물 제조),경상북도 칠곡군 약목면 칠곡대로 1074,,,
삼보프라텍(주),2015,폐활성탄,에스씨티(주),에스씨티(주),재활용(직접 제품제조),경상북도 칠곡군 약목면 칠곡대로 1074,,,
(주)금성산업,2015,폐합성수지류(폐염화비닐수지류는 제외한다),(주)태흥환경개발,(주)제일에너지,중간처분(일반소각),경상북도 칠곡군 왜관읍 2산업단지2길 202,,,
(주)금성산업,2015,폐합성수지류(폐염화비닐수지류는 제외한다),(주)태흥환경개발,(주)태흥환경개발,재활용(중간가공폐기물 제조),경상북도 칠곡군 왜관읍 2산업단지2길 202,,,
영남석재,2015,그 밖의 무기성오니,(주)대화티엔에스,(유)신한산업,매립(민간관리형매립시설),경상북도 칠곡군 기산면 행정2길 57,,,
영남석재,2015,폐석재,청진기업,청진기업,재활용(파쇄.분쇄),경상북도 칠곡군 기산면 행정2길 57,,,
