name,address,type,product
(주)조광포장산업,경상남도 김해시 한림면 명동리 1207-3,"플라스틱 포대, 봉투 및 유사제품 제조업",
(주)케이.티.씨,경상남도 김해시 상동면 우계리 1043,컨베이어장치 제조업 외 1 종,
(주)코셉,경상남도 김해시 진영읍 진영리 5-2,그외 기타 일반목적용 기계 제조업,
(주)코스,경상남도 김해시 한림면 신천리 300-17,"플라스틱 필름, 시트 및 판 제조업",
(주)티엔에스,경상남도 김해시 한림면 안하리 546-2,선박 구성부분품 제조업,
(주)평진,경상남도 김해시 주촌면 농소리 628-6,내연기관 제조업 외 3 종,
(주)하이젠텍,경상남도 김해시 어방동 607 인제대학교,그외 기타 일반목적용 기계 제조업,
(주)한동테크,경상남도 김해시 진영읍 우동리 274,항공기용 부품 제조업 외 4 종,
212테크,경상남도 김해시 진영읍 하계리 264-1,그외 기타 플라스틱 제품 제조업,
M.O.S,경상남도 김해시 한림면 장방리 816-1,선박 구성부분품 제조업,
SB테크,경상남도 김해시 어방동 1061-17,주형 및 금형 제조업,
가산기업,경상남도 김해시 진영읍 하계리 264,그외 기타 플라스틱 제품 제조업,
광덕후직물공업사,경상남도 김해시 생림면 나전리 544-1,편조원단 제조업,
금석테크,경상남도 김해시 진영읍 하계리 269-2,그외 기타 플라스틱 제품 제조업,
금호산업(주),경상남도 김해시 진례면 신월리 466-3,"플라스틱 포대, 봉투 및 유사제품 제조업",
대동중공업(주),경상남도 김해시 진영읍 진영리 5-2,그외 기타 특수목적용 기계 제조업 외 1 종,
대진하이시스,경상남도 김해시 상동면 매리 607-29,유압기기 제조업,
대호정기(주),경상남도 김해시 주촌면 망덕리 872-7번지 D-7,"전기회로 개폐, 보호 및 접속 장치 제조업",
부산경남고압가스공업협동조합,경상남도 김해시 진영읍 죽곡리 165-5,기타 물품취급장비 제조업,
세원금속(주),경상남도 김해시 주촌면 내삼리 914,자동차 엔진용 부품 제조업 외 4 종,
승민화학,경상남도 김해시 한림면 안하리 551-3,그외 기타 플라스틱 제품 제조업,
신라양초산업사,경상남도 김해시 한림면 신천리 76,"라이터, 연소물 및 흡연용품 제조업",
신우중공업주식회사,경상남도 김해시 한림면 명동리 1177,금속 조립구조재 제조업 외 11 종,
신우중공업주식회사,경상남도 김해시 한림면 명동리 1177,금속 조립구조재 제조업 외 12 종,
신우중공업주식회사,경상남도 김해시 한림면 명동리 1177,금속 조립구조재 제조업 외 13 종,
