순번,단지명,회사명,대표업종번호,업종번호,업종명,공장대표주소,시군구,설립구분,생산품
9435,대구국가산업단지,케이비와이퍼시스템(주),30399,30399,그 외 자동차용 신품 부품 제조업,한국산업단지공단 대구지역본부 달성사무소,달성군,국가산업단지,자동차와이퍼시스템
9436,달성2차일반산업단지,케이비인쇄포장,17212,17212,골판지 상자 및 가공제품 제조업,한국산업단지공단 대구지역본부 달성사무소,달성군,일반산업단지,박스제조
9437,달성2차일반산업단지,케이비친환경,29174,29174,기체 여과기 제조업,한국산업단지공단 대구지역본부 달성사무소,달성군,일반산업단지,악취탈취장치
9438,성서지방산업단지,케이스프링,25943,25943,금속 스프링 제조업,대구성서산업단지관리공단,달서구,일반산업단지,스프링
9439,성서지방산업단지,케이시시정공(주),29120,29120,유압기기 제조업,대구성서산업단지관리공단,달서구,일반산업단지,유공압기기
9440,성서지방산업단지,케이시시정공(주),29120,29120,유압기기 제조업,대구성서산업단지관리공단,달서구,일반산업단지,유공압자동화기기
9441,성서지방산업단지,케이시시정공(주),29120,29120,유압기기 제조업,대구성서산업단지관리공단,달서구,일반산업단지,유공압실린더
9442,성서지방산업단지,케이씨에프(KCF),25944,25944+25933,금속선 가공제품 제조업 외 1 종,대구성서산업단지관리공단,달서구,일반산업단지,스텐망 +금속제양봉기
9443,성서지방산업단지,케이아이피,29271,29271,반도체 제조용 기계 제조업,대구성서산업단지관리공단,달서구,일반산업단지,반도체제조
9444,성서지방산업단지,케이아이피(주),28909,28909,그 외 기타 전기장비 제조업,대구성서산업단지관리공단,달서구,일반산업단지,반도체부품
9445,대구국가산업단지,케이아이피(주),29223,29223,금속 절삭기계 제조업,한국산업단지공단 대구지역본부 달성사무소,달성군,국가산업단지,조선부품 외
9446,,케이알시(KRC)고려,27193,27193+27199,안경 및 안경렌즈 제조업 외 1 종,대구광역시 북구,북구,일반,산업용 보안경
9447,대구국가산업단지,케이알씨(주),28422,28422+25112+25113+28423+28429,일반용 전기 조명장치 제조업 외 4 종,한국산업단지공단 대구지역본부 달성사무소,달성군,국가산업단지,태양광가로등+공원등+지주+금속구조물+난간
9448,북구검단지방산업단지,케이알에스,20491,20491,감광재료 및 관련 화학제품 제조업,(사)대구검단산업단지관리공단,북구,일반산업단지,토너카트리지
9449,달성일반산업단지,케이앤비준우(주),22299,22299+13219,그 외 기타 플라스틱 제품 제조업 외 1 종,달성1차산업단지관리공단,달성군,일반산업단지,인조잔디
9450,대구출판산업단지,케이앤씨,58190,58190+18112,기타 인쇄물 출판업 외 1 종,대구성서산업단지관리공단,달서구,일반산업단지,카다로그+각종인쇄물+스크린인쇄
9451,성서지방산업단지,케이앤피엘이디,28422,28422+28410+28903,일반용 전기 조명장치 제조업 외 2 종,대구성서산업단지관리공단,달서구,일반산업단지,LED조명+조명제어장치+교통신호장치
9452,성서지방산업단지,케이에스(KS),71531,71531,경영 컨설팅업,대구성서산업단지관리공단,달서구,일반산업단지,경영컨설팅(서비스업)
