회사명,종업원수,생산품,용지면적(제곱미터),제조시설면적(제곱미터),부대시설면적(제곱미터),공장대표주소,도로명주소,업종명,년도,분기,위도,경도
(주)성진이엔지,14,자동차부품등,,268.5,0,경상남도 김해시 주촌면 내삼리 1111-1,경상남도 김해시 주촌면 서부로1499번길 101-9,자동차 엔진용 신품 부품 제조업 외 7 종,2017,4,35.23052709,128.809414
(주)성일정공,19,절삭공구,,366,68.64,,경상남도 김해시 율하동 686번지,톱 및 호환성 공구 제조업,2017,4,35.16738874,128.8131496
(주)성전,18,스폰지패드,,1253.44,1022.04,경상남도 김해시 상동면 우계리 1116-5,경상남도 김해시 상동면 상동로 145,합성고무 제조업,2017,4,35.2998424,128.8884711
(주)성진에이테크,2,농기계,,387.54,83.21,경상남도 김해시 유하동 801-1,경상남도 김해시 유하로59번길 35-12 (유하동),그 외 기타 일반목적용 기계 제조업 외 2 종,2017,4,35.20970452,128.8123795
(주)성일화스너,11,"볼트,너트",,900,96,경상남도 김해시 상동면 매리 919-1,경상남도 김해시 상동면 동북로473번길 208-42 (총 4 필지),볼트 및 너트류 제조업 외 2 종,2017,4,35.30588579,128.9500816
(주)성진사,41,에어콘부품(동파이프가공물),,726,553.23,경상남도 김해시 진례면 고모리 550-1,경상남도 김해시 진례면 고모로554번길 12,기타 가정용 전기기기 제조업,2017,4,35.27261066,128.7769321
(주)성진일렉트론,25,엘이디램프외,,1795.06,209.7,경상남도 김해시 지내동 273-14,경상남도 김해시 삼안로44번길 15-6 (지내동),전자부품 실장기판 제조업 외 4 종,2017,4,35.23352283,128.919856
(주)성일정판,26,"인쇄,BOX",,1838.1,716.94,경상남도 김해시 생림면 사촌리 136-1,경상남도 김해시 생림면 나전로 372,기타 인쇄업 외 1 종,2017,4,35.31626985,128.8728676
(주)성진,22,"산업기계,조선선박의장품",,1461.64,249.75,경상남도 김해시 주촌면 선지리 41,경상남도 김해시 주촌면 서부로1701번안길 58-181,일반철물 제조업,2017,4,35.24696674,128.8444987
(주)성진일렉트론,95,전자부품,,3329.79,988.36,경상남도 김해시 지내동 266-5,경상남도 김해시 삼안로52번길 21,그 외 기타 전자부품 제조업 외 1 종,2017,4,35.23443896,128.9203473
(주)성진테크,71,자동차범바,,6412.07,1135.44,경상남도 김해시 진영읍 죽곡리 8-2,경상남도 김해시 진영읍 서부로179번길 39-86,자동차 차체용 신품 부품 제조업 외 1 종,2017,4,35.28659323,128.769923
(주)성창,14,자동차부품,,3423.55,702.1,,"경상남도 김해시 진례면 테크노밸리1로 140, (주)성창",그 외 자동차용 신품 부품 제조업 외 3 종,2017,4,35.27222049,128.7726835
(주)성진화학,44,"현대,기아 프라스틱부품",,699.3,11.22,경상남도 김해시 안동 258-16,경상남도 김해시 김해대로2635번길 12,그 외 자동차용 신품 부품 제조업 외 3 종,2017,4,35.23041065,128.9161454
(주)성창기연,20,"산업기계,화력발전설비,철구조물",,969.6,134.02,,경상남도 김해시 진례면 고모로 514,기타 구조용 금속제품 제조업,2017,4,35.26980058,128.775588
(주)성진하이메크,32,전자장치,,730.3,1309.58,경상남도 김해시 어방동 1065-14,경상남도 김해시 김해대로2567번길 35,액정 표시장치 제조업,2017,4,35.23185904,128.9067573
(주)성창금속,16,샷시보강재,,860.33,111.34,경상남도 김해시 한림면 명동리 1138,경상남도 김해시 한림면 김해대로 1155-15,"금속 문, 창, 셔터 및 관련제품 제조업",2017,4,35.29466343,128.8080394
(주)성현프랜트,10,송풍기,,478.8,15,경상남도 김해시 외동 1082-8,경상남도 김해시 금관대로1134번길 21,산업용 송풍기 및 배기장치 제조업,2017,4,35.23027848,128.8514113
(주)성해플랜트,64,조선배관품,,3948.45,542.4,경상남도 김해시 한림면 안곡리 724,경상남도 김해시 한림면 안곡로333번길 61,육상 금속 골조 구조재 제조업 외 1 종,2017,4,35.28852605,128.8445794
(주)성화,10,금속구조제,,1153.38,258,경상남도 김해시 한림면 가산리 754-1,경상남도 김해시 한림면 장방로 33 (총 2 필지),육상 금속 골조 구조재 제조업 외 1 종,2017,4,35.31819836,128.7614378
(주)성훈철강,10,강재생산,,493,850,경상남도 김해시 진영읍 죽곡리 225,경상남도 김해시 진영읍 서부로 261,그 외 기타 1차 철강 제조업,2017,4,35.27496101,128.7643334
(주)성창,3,자동차부품,,170,0,경상남도 김해시 진례면 송현리 216-1,경상남도 김해시 진례면 고모로 273,그 외 자동차용 신품 부품 제조업 외 3 종,2017,4,35.25158161,128.7656368
(주)성철기계금속,8,주강주철기계가공품,,420,58.21,,경상남도 김해시 장유로307번길 11 (무계동),그 외 기타 금속가공업,2017,4,35.19973782,128.8166596
(주)성호테크,13,선박구성부푼품,,1494,144.9,경상남도 김해시 상동면 매리 764-9,경상남도 김해시 상동면 상동로 862-78,선박 구성 부분품 제조업,2017,4,35.31464053,128.9581247
(주)성호물류시스탬,8,선박부품,,480,82.6,경상남도 김해시 상동면 우계리 826,경상남도 김해시 상동면 상동로 224-19,선박 구성 부분품 제조업,2017,4,35.30109865,128.8969225
